name,rating,benefits,categories,key_points,description
Aluminum Chlorohydrex Pg,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Citrate,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Diacetate,Not Rated,,,,"Functions: Antimicrobial, Astringent. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Dibenzoate/Stearate Hydroxide,Not Rated,,,,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Dicetyl Phosphate,Not Rated,,,,Functions: Emulsion Stabilizer. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Dichlorohydrate,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Dichlorohydrex Peg,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Dichlorohydrex Pg,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Dilinoleate,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Opacifying, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Dimyristate,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Opacifying, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Fluoride,Not Rated,,,,"Functions: Antiplaque, Oral Care. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Glycinate,Not Rated,,,,"Functions: Astringent, Buffering. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Hydrogenated Tallow Glutamate,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Hydroxide Oxide,Not Rated,,,,"Functions: Antimicrobial, Astringent, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Hydroxy Bis-Methylene Bis-Di-T-Butylphenyl Phosphate,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Iron Calcium Magnesium Germanium Silicates,Not Rated,,,,"Functions: Antimicrobial, Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Iron Calcium Magnesium Zirconium Silicates,Not Rated,,,,Functions: Bulking. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Iron Silicates,Not Rated,,,,"Functions: Abrasive, Bulking. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Isopropoxide,Not Rated,,,,Functions: Abrasive. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Isostearate,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Opacifying, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Isostearates/Myristates,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Opacifying, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Isostearates/Palmitates,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Opacifying, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Isostearates/Stearates,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Opacifying, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Isostearyl Glyceryl Phosphate,Not Rated,,,,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Laccate,Not Rated,,,,Functions: Colorant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Lactate,Not Rated,,,,"Functions: Astringent, Buffering, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Lanolate,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Magnesium Oxide,Not Rated,,,,"Functions: Absorbent, Anticaking, Bulking, Oral Care. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Methionate,Not Rated,,,,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Myristate,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Myristates/Palmitates,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Opacifying, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Pca,Not Rated,,,,"Functions: Astringent, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Phenolsulfonate,Not Rated,,,,"Functions: Antimicrobial, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Sesquichlorohydrate,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Sesquichlorohydrex Peg,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Sesquichlorohydrex Pg,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Stearates,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Opacifying, Emollient, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Stearoyl Glutamate,Not Rated,,,,"Functions: Moisturizing, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Sucrose Octasulfate,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Triformate,Not Rated,,,,Functions: Buffering. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Triphosphate,Not Rated,,,,"Functions: Absorbent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Tris-Hydroxynitrosoaniline,Not Rated,,,,Functions: Nail Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Tristearate,Not Rated,,,,"Functions: Anticaking, Emulsion Stabilizer, Opacifying, Emollient, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Undecylenoyl Collagen Amino Acids,Not Rated,,,,"Functions: Antistatic, Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Zinc Carbonate Hydroxide,Not Rated,,,,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Aluminum Zinc Oxide,Not Rated,,,,"Functions: Binding, Bulking, Deodorant, Opacifying. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Zirconium Octachlorohydrate,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Zirconium Octachlorohydrex Gly,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Zirconium Pentachlorohydrate,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Aluminum Zirconium Pentachlorohydrex Gly,Not Rated,,,,"Functions: Antiperspirant, Astringent, Deodorant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
